xbj,t,x,Q2,gpd_u,gpd_d
0.0001,-0.1,0.487984,7.5,0.292584,-0.139104
0.0001,-0.1,0.487984,10,0.276862,-0.130442
0.0001,-0.1,0.521892,0.5,0.474272,-0.226793
0.0001,-0.1,0.521892,1,0.363805,-0.166366
0.0001,-0.1,0.521892,1.5,0.319656,-0.143243
0.0001,-0.1,0.521892,2,0.294114,-0.130141
0.0001,-0.1,0.521892,2.5,0.276804,-0.121377
0.0001,-0.1,0.521892,3,0.263995,-0.114953
0.0001,-0.1,0.521892,4,0.245855,-0.105944
0.0001,-0.1,0.521892,5,0.233283,-0.0997591
0.0001,-0.1,0.521892,7.5,0.21321,-0.0899852
0.0001,-0.1,0.521892,10,0.200775,-0.0839892
0.0001,-0.1,0.5558,0.5,0.359109,-0.151104
0.0001,-0.1,0.5558,1,0.268824,-0.108516
0.0001,-0.1,0.5558,1.5,0.233523,-0.0925014
0.0001,-0.1,0.5558,2,0.213321,-0.0835052
0.0001,-0.1,0.5558,2.5,0.199726,-0.0775214
0.0001,-0.1,0.5558,3,0.189718,-0.0731523
0.0001,-0.1,0.5558,4,0.175621,-0.0670507
0.0001,-0.1,0.5558,5,0.165904,-0.06288
0.0001,-0.1,0.5558,7.5,0.150482,-0.0563177
0.0001,-0.1,0.5558,10,0.140985,-0.0523096
0.0001,-0.1,0.589709,0.5,0.262462,-0.0970975
0.0001,-0.1,0.589709,1,0.191643,-0.0682536
0.0001,-0.1,0.589709,1.5,0.164545,-0.0575921
0.0001,-0.1,0.589709,2,0.149202,-0.0516537
0.0001,-0.1,0.589709,2.5,0.138949,-0.0477251
0.0001,-0.1,0.589709,3,0.131437,-0.0448679
0.0001,-0.1,0.589709,4,0.120913,-0.0408936
0.0001,-0.1,0.589709,5,0.113696,-0.0381879
0.0001,-0.1,0.589709,7.5,0.102308,-0.0339485
0.0001,-0.1,0.589709,10,0.095333,-0.0313695
0.0001,-0.1,0.623617,0.5,0.18405,-0.0598899
0.0001,-0.1,0.623617,1,0.131,-0.0411901
0.0001,-0.1,0.623617,1.5,0.111132,-0.0343958
0.0001,-0.1,0.623617,2,0.100002,-0.0306431
0.0001,-0.1,0.623617,2.5,0.0926134,-0.0281737
0.0001,-0.1,0.623617,3,0.0872272,-0.0263845
0.0001,-0.1,0.623617,4,0.0797185,-0.0239056
0.0001,-0.1,0.623617,5,0.0745958,-0.0222244
0.0001,-0.1,0.623617,7.5,0.0665544,-0.0196006
0.0001,-0.1,0.623617,10,0.061655,-0.0180102
0.0001,-0.1,0.657526,0.5,0.122912,-0.0352408
0.0001,-0.1,0.657526,1,0.0852089,-0.0236983
0.0001,-0.1,0.657526,1.5,0.0713895,-0.0195766
0.0001,-0.1,0.657526,2,0.0637284,-0.0173191
0.0001,-0.1,0.657526,2.5,0.0586767,-0.0158415
0.0001,-0.1,0.657526,3,0.0550116,-0.0147749
0.0001,-0.1,0.657526,4,0.0499272,-0.0133027
0.0001,-0.1,0.657526,5,0.0464752,-0.0123079
0.0001,-0.1,0.657526,7.5,0.0410834,-0.0107612
0.0001,-0.1,0.657526,10,0.0378136,-0.00982673
0.0001,-0.1,0.691434,0.5,0.0774324,-0.0196224
0.0001,-0.1,0.691434,1,0.0522284,-0.0128893
0.0001,-0.1,0.691434,1.5,0.0431893,-0.0105272
0.0001,-0.1,0.691434,2,0.0382308,-0.00924437
0.0001,-0.1,0.691434,2.5,0.0349828,-0.00840918
0.0001,-0.1,0.691434,3,0.0326372,-0.00780853
0.0001,-0.1,0.691434,4,0.0293988,-0.00698259
0.0001,-0.1,0.691434,5,0.0272104,-0.00642649
0.0001,-0.1,0.691434,7.5,0.0238077,-0.00556472
0.0001,-0.1,0.691434,10,0.0217529,-0.00504563
0.0001,-0.1,0.725342,0.5,0.0454482,-0.0102249
0.0001,-0.1,0.725342,1,0.0297841,-0.00655123
0.0001,-0.1,0.725342,1.5,0.0242899,-0.00528592
0.0001,-0.1,0.725342,2,0.0213079,-0.00460474
0.0001,-0.1,0.725342,2.5,0.0193674,-0.00416361
0.0001,-0.1,0.725342,3,0.0179725,-0.00384755
0.0001,-0.1,0.725342,4,0.0160555,-0.00341452
0.0001,-0.1,0.725342,5,0.0147657,-0.00312395
0.0001,-0.1,0.725342,7.5,0.0127687,-0.00267507
0.0001,-0.1,0.725342,10,0.0115669,-0.00240536
0.0001,-0.1,0.759251,0.5,0.024435,-0.00490875
0.0001,-0.1,0.759251,1,0.0155286,-0.0030616
0.0001,-0.1,0.759251,1.5,0.0124758,-0.00243763
0.0001,-0.1,0.759251,2,0.0108367,-0.00210475
0.0001,-0.1,0.759251,2.5,0.00977716,-0.00189036
0.0001,-0.1,0.759251,3,0.00901896,-0.00173732
0.0001,-0.1,0.759251,4,0.0079816,-0.0015284
0.0001,-0.1,0.759251,5,0.00728649,-0.00138867
0.0001,-0.1,0.759251,7.5,0.00621422,-0.0011734
0.0001,-0.1,0.759251,10,0.00557081,-0.00104431
0.0001,-0.1,0.793159,0.5,0.0117455,-0.00212163
0.0001,-0.1,0.793159,1,0.00721913,-0.00128447
0.0001,-0.1,0.793159,1.5,0.00570476,-0.00100753
0.0001,-0.1,0.793159,2,0.00490069,-0.00086119
0.0001,-0.1,0.793159,2.5,0.00438437,-0.000767475
0.0001,-0.1,0.793159,3,0.00401657,-0.00070083
0.0001,-0.1,0.793159,4,0.00351549,-0.000610168
0.0001,-0.1,0.793159,5,0.00318099,-0.000549713
0.0001,-0.1,0.793159,7.5,0.00266657,-0.000456788
0.0001,-0.1,0.793159,10,0.00235853,-0.000401128
0.0001,-0.1,0.827067,0.5,0.00486463,-0.000796477
0.0001,-0.1,0.827067,1,0.00288049,-0.000466132
0.0001,-0.1,0.827067,1.5,0.00223372,-0.000359341
0.0001,-0.1,0.827067,2,0.00189429,-0.000303488
0.0001,-0.1,0.827067,2.5,0.00167781,-0.000267929
0.0001,-0.1,0.827067,3,0.00152427,-0.000242738
0.0001,-0.1,0.827067,4,0.00131594,-0.000208583
0.0001,-0.1,0.827067,5,0.00117732,-0.000185868
0.0001,-0.1,0.827067,7.5,0.000964604,-0.000151004
0.0001,-0.1,0.827067,10,0.000837346,-0.000130122
0.0001,-0.1,0.860976,0.5,0.00163322,-0.000244548
0.0001,-0.1,0.860976,1,0.000926146,-0.000137487
0.0001,-0.1,0.860976,1.5,0.000702192,-0.000103771
0.0001,-0.1,0.860976,2,0.000586104,-8.63332e-05
0.0001,-0.1,0.860976,2.5,0.00051257,-7.52994e-05
0.0001,-0.1,0.860976,3,0.000460637,-6.75112e-05
0.0001,-0.1,0.860976,4,0.00039041,-5.69827e-05
0.0001,-0.1,0.860976,5,0.000343793,-4.99935e-05
0.0001,-0.1,0.860976,7.5,0.000272284,-3.9266e-05
0.0001,-0.1,0.860976,10,0.000229443,-3.28237e-05
0.0001,-0.1,0.894884,0.5,0.000396982,-5.48843e-05
0.0001,-0.1,0.894884,1,0.000213475,-2.93413e-05
0.0001,-0.1,0.894884,1.5,0.000157231,-2.15411e-05
0.0001,-0.1,0.894884,2,0.000128456,-1.75559e-05
0.0001,-0.1,0.894884,2.5,0.000110345,-1.50493e-05
0.0001,-0.1,0.894884,3,9.75947e-05,-1.32854e-05
0.0001,-0.1,0.894884,4,8.03785e-05,-1.09045e-05
0.0001,-0.1,0.894884,5,6.89418e-05,-9.32299e-06
0.0001,-0.1,0.894884,7.5,5.13062e-05,-6.88551e-06
0.0001,-0.1,0.894884,10,4.06223e-05,-5.40416e-06
0.0001,-0.1,0.928792,0.5,5.43999e-05,-7.01433e-06
0.0001,-0.1,0.928792,1,2.72308e-05,-3.49929e-06
0.0001,-0.1,0.928792,1.5,1.92227e-05,-2.46596e-06
0.0001,-0.1,0.928792,2,1.51749e-05,-1.94476e-06
