xbj,t,x,Q2,gpd_u,gpd_d
0.0001,-0.1,0.000288806,10,44.0902,30.7176
0.0001,-0.1,0.00029698,0.5,19.6487,13.8629
0.0001,-0.1,0.00029698,1,25.8989,18.2315
0.0001,-0.1,0.00029698,1.5,29.3101,20.5961
0.0001,-0.1,0.00029698,2,31.6384,22.203
0.0001,-0.1,0.00029698,2.5,33.401,23.4159
0.0001,-0.1,0.00029698,3,34.8184,24.3891
0.0001,-0.1,0.00029698,4,37.0162,25.8945
0.0001,-0.1,0.00029698,5,38.6904,27.0385
0.0001,-0.1,0.00029698,7.5,41.6671,29.0667
0.0001,-0.1,0.00029698,10,43.7349,30.4715
0.0001,-0.1,0.000305386,0.5,19.5285,13.7828
0.0001,-0.1,0.000305386,1,25.7235,18.1122
0.0001,-0.1,0.000305386,1.5,29.1029,20.4543
0.0001,-0.1,0.000305386,2,31.4087,22.0453
0.0001,-0.1,0.000305386,2.5,33.1541,23.246
0.0001,-0.1,0.000305386,3,34.5574,24.2093
0.0001,-0.1,0.000305386,4,36.733,25.699
0.0001,-0.1,0.000305386,5,38.3902,26.831
0.0001,-0.1,0.000305386,7.5,41.3359,28.8374
0.0001,-0.1,0.000305386,10,43.3819,30.2269
0.0001,-0.1,0.000314029,0.5,19.4087,13.703
0.0001,-0.1,0.000314029,1,25.549,17.9935
0.0001,-0.1,0.000314029,1.5,28.8967,20.3132
0.0001,-0.1,0.000314029,2,31.1803,21.8884
0.0001,-0.1,0.000314029,2.5,32.9085,23.077
0.0001,-0.1,0.000314029,3,34.2979,24.0304
0.0001,-0.1,0.000314029,4,36.4515,25.5047
0.0001,-0.1,0.000314029,5,38.0917,26.6246
0.0001,-0.1,0.000314029,7.5,41.0068,28.6095
0.0001,-0.1,0.000314029,10,43.031,29.9837
0.0001,-0.1,0.000322917,0.5,19.2896,13.6236
0.0001,-0.1,0.000322917,1,25.3754,17.8754
0.0001,-0.1,0.000322917,1.5,28.6917,20.1728
0.0001,-0.1,0.000322917,2,30.9532,21.7324
0.0001,-0.1,0.000322917,2.5,32.6644,22.909
0.0001,-0.1,0.000322917,3,34.0399,23.8526
0.0001,-0.1,0.000322917,4,36.1717,25.3114
0.0001,-0.1,0.000322917,5,37.795,26.4195
0.0001,-0.1,0.000322917,7.5,40.6797,28.3829
0.0001,-0.1,0.000322917,10,42.6825,29.742
0.0001,-0.1,0.000332057,0.5,19.171,13.5444
0.0001,-0.1,0.000332057,1,25.2027,17.7579
0.0001,-0.1,0.000332057,1.5,28.4877,20.0331
0.0001,-0.1,0.000332057,2,30.7274,21.5772
0.0001,-0.1,0.000332057,2.5,32.4217,22.7418
0.0001,-0.1,0.000332057,3,33.7834,23.6757
0.0001,-0.1,0.000332057,4,35.8936,25.1193
0.0001,-0.1,0.000332057,5,37.5002,26.2156
0.0001,-0.1,0.000332057,7.5,40.3546,28.1577
0.0001,-0.1,0.000332057,10,42.3361,29.5018
0.0001,-0.1,0.000341455,0.5,19.053,13.4657
0.0001,-0.1,0.000341455,1,25.031,17.6409
0.0001,-0.1,0.000341455,1.5,28.285,19.8941
0.0001,-0.1,0.000341455,2,30.5029,21.4229
0.0001,-0.1,0.000341455,2.5,32.1804,22.5756
0.0001,-0.1,0.000341455,3,33.5285,23.4998
0.0001,-0.1,0.000341455,4,35.6172,24.9282
0.0001,-0.1,0.000341455,5,37.2072,26.0128
0.0001,-0.1,0.000341455,7.5,40.0317,27.9338
0.0001,-0.1,0.000341455,10,41.992,29.2631
0.0001,-0.1,0.000351119,0.5,18.9355,13.3872
0.0001,-0.1,0.000351119,1,24.8601,17.5245
0.0001,-0.1,0.000351119,1.5,28.0833,19.7559
0.0001,-0.1,0.000351119,2,30.2796,21.2693
0.0001,-0.1,0.000351119,2.5,31.9405,22.4103
0.0001,-0.1,0.000351119,3,33.275,23.3249
0.0001,-0.1,0.000351119,4,35.3424,24.7383
0.0001,-0.1,0.000351119,5,36.9159,25.8112
0.0001,-0.1,0.000351119,7.5,39.7107,27.7113
0.0001,-0.1,0.000351119,10,41.65,29.0258
0.0001,-0.1,0.000361057,0.5,18.8185,13.3091
0.0001,-0.1,0.000361057,1,24.6901,17.4086
0.0001,-0.1,0.000361057,1.5,27.8828,19.6183
0.0001,-0.1,0.000361057,2,30.0576,21.1166
0.0001,-0.1,0.000361057,2.5,31.702,22.2458
0.0001,-0.1,0.000361057,3,33.023,23.1509
0.0001,-0.1,0.000361057,4,35.0693,24.5494
0.0001,-0.1,0.000361057,5,36.6265,25.6108
0.0001,-0.1,0.000361057,7.5,39.3917,27.4901
0.0001,-0.1,0.000361057,10,41.3103,28.79
0.0001,-0.1,0.000371276,0.5,18.7022,13.2313
0.0001,-0.1,0.000371276,1,24.521,17.2933
0.0001,-0.1,0.000371276,1.5,27.6833,19.4815
0.0001,-0.1,0.000371276,2,29.8369,20.9646
0.0001,-0.1,0.000371276,2.5,31.4649,22.0823
0.0001,-0.1,0.000371276,3,32.7726,22.978
0.0001,-0.1,0.000371276,4,34.7978,24.3616
0.0001,-0.1,0.000371276,5,36.3388,25.4116
0.0001,-0.1,0.000371276,7.5,39.0748,27.2703
0.0001,-0.1,0.000371276,10,40.9727,28.5557
0.0001,-0.1,0.000381784,0.5,18.5863,13.1538
0.0001,-0.1,0.000381784,1,24.3529,17.1786
0.0001,-0.1,0.000381784,1.5,27.485,19.3453
0.0001,-0.1,0.000381784,2,29.6174,20.8135
